wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q20451202,YB SENATOR TUAN HAJI IDRIS BIN HAJI AHMAD,Idris Ahmad,male,1963-10-19,11,https://www.kabinet.gov.my/bkpp/index.php/anggota-pentadbiran/menteri,2021-12-09,Q24949267,Menteri di Jabatan Perdana Menteri (Hal Ehwal Agama),2021-08-30,Q20451202-D4EC6838-590C-41EF-ACFC-5042D11F2B5D
Q468579,Wan Azizah Wan Ismail,Wan Azizah Wan Ismail,female,1952-12-03,11,,,Q5261073,Timbalan Perdana Menteri Malaysia,2018-05-21,Q468579-4174bfe6-4a00-3f59-3c57-f3dc71dfe41b
Q55760030,Mohd Redzuan Md Yusof,Mohd Redzuan Md Yusof,male,1957-04-14,11,,,Q24949267,Menteri di Jabatan Perdana Menteri Malaysia,2020-03-10,Q55760030-63bf2012-4ed1-92f6-fd67-147477633188
Q5772615,YB DATO' SERI HISHAMMUDDIN BIN TUN HUSSEIN,Hishammuddin Hussein,male,1961-08-05,11,https://www.kabinet.gov.my/bkpp/index.php/anggota-pentadbiran/menteri,2021-12-09,Q20449744,Menteri Kanan Pertahanan,2021-08-30,Q5772615-6B585D75-0B6B-43E6-A035-AF6BF0C2E9C5
Q6084858,YAB DATO' SRI ISMAIL SABRI BIN YAAKOB,Ismail Sabri Yaakob,male,1960-01-18,11,https://www.kabinet.gov.my/bkpp/index.php/anggota-pentadbiran/menteri,2021-12-09,Q862559,Perdana Menteri,2021-08-21,Q6084858-50ba8716-4b13-72d9-e95f-ea00df4e8102
Q61630007,,,male,1964-09-26,11,,,Q30601401,Menteri Belia dan Sukan Malaysia,2015-11-01,Q61630007-7291565f-4c1e-40b9-9885-a00a57a57e1e
Q6653321,YB DATUK SERI PANGLIMA DR. JOHNITY @ MAXIMUS BIN ONGKILI,Maximus @ Johnity Ongkili,male,1953-10-26,11,https://www.kabinet.gov.my/bkpp/index.php/anggota-pentadbiran/menteri,2021-12-09,Q24949267,Menteri di Jabatan Perdana Menteri (Hal Ehwal Sabah dan Sarawak),2020-03-10,Q6653321-57fb1384-493d-9f90-9332-de163dc1fe76
Q73962,YB DATO' SERI MOHAMED AZMIN BIN ALI,Mohamed Azmin Ali,male,1964-08-25,11,https://www.kabinet.gov.my/bkpp/index.php/anggota-pentadbiran/menteri,2021-12-09,Q25240869,Menteri Kanan Perdagangan Antarabangsa dan Industri,2021-08-30,Q73962-414D2C97-4C65-4FD7-AAB9-56B34A55E31F
Q7967007,YB DATO SRI DR. HAJI WAN JUNAIDI BIN TUANKU JAAFAR,Wan Junaidi Bin Tuanku Jaafar,male,1946-02-01,11,https://www.kabinet.gov.my/bkpp/index.php/anggota-pentadbiran/menteri,2021-12-09,Q24949267,Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-Undang),2021-08-30,Q7967007-BBC3DC92-E626-4804-B08E-86162292B0B8
Q8064320,YB SENATOR TENGKU DATUK SERI UTAMA ZAFRUL BIN TENGKU ABDUL AZIZ,Tengku Zafrul Aziz,male,1973-06-25,11,https://www.kabinet.gov.my/bkpp/index.php/anggota-pentadbiran/menteri,2021-12-09,Q25241999,Menteri Kewangan,2021-08-30,Q8064320-FF531177-B90D-4CB0-903D-7F2C57252A55
