item,itemLabel,startDate,endDate,psid
Q1521486,Ghazali Shafie,1981-07-17,1984-07-16,Q1521486-E8487AAA-7179-438D-903C-B7A4AF9A05F5
Q2380853,Rais Yatim,2008-03-19,2009-04-08,Q2380853-38FBF127-968B-499C-9309-842D7921D9AF
Q2380853,Rais Yatim,1986-08-11,1987-05-07,Q2380853-9AD48A24-4DF2-41F3-9445-359CFF327B25
Q264516,Abdul Razak Hussein,1970-09-23,1975-08-12,Q264516-523799EB-A10E-46D4-9161-18B2CACB32BE
Q272588,Abdullah Ahmad Badawi,1991-03-15,1999-01-08,Q272588-F7BE02AF-0779-4B83-A438-4C6DB8FA138D
Q296317,Tunku Abdul Rahman,1957-08-31,1959-02-02,Q296317-508BE9DD-429C-4274-A43D-BECE357CEE96
Q296317,Tunku Abdul Rahman,1960-09-01,1970-09-22,Q296317-c3663074-4b26-6e60-f6b1-1dc47767c8a9
Q3176113,Syed Hamid Albar,1999-01-09,2008-03-18,Q3176113-46320457-4264-b534-eb24-5902ff018403
Q4198159,Ismail Abdul Rahman,1959-02-03,1960-08-31,Q4198159-6124B9C5-8B06-4E55-9535-33CB862D533B
Q4670201,Abu Hassan Omar,1987-05-20,1991-03-14,Q4670201-54F5E11B-4C04-4D2E-842A-89FB3B821755
Q4764583,Anifah Aman,2009-04-09,2018-05-10,Q4764583-DD1A92E6-E2E8-4AA5-B7BF-3E555B7B9C6D
Q5772615,Hishammuddin Hussein,2020-03-10,2021-08-16,Q5772615-263B1F50-FF4C-4216-98DA-06F6B8E9A19B
Q6894027,Mohd Radzi Sheikh Ahmad,2006-02-14,2008-03-18,Q6894027-84372e31-437d-43b6-3494-22a630b3c207
Q7400032,Saifuddin Abdullah,2021-08-30,,Q7400032-4F637FE5-DD75-4ABA-867E-0F36574F18C3
Q7400032,Saifuddin Abdullah,2018-07-02,2020-02-24,Q7400032-7A61F61B-B215-487A-9A3E-DFDFC3C6B44E
