item,itemLabel,startDate,endDate
Q264516,Abdul Razak Hussein,1957-08-31,1970-09-22
Q335366,Hamzah Abu Samah,1973-08-13,1974-09-14
Q201124,Mustapha Harun,1974-09-15,1974
Q264516,Abdul Razak Hussein,1974,1976
Q529391,Hussein Onn,1976,1978
Q1015710,Abdul Taib Mahmud,1978,1979
Q529391,Hussein Onn,1979,1981-07-16
Q181383,Mahathir Mohamad,1981-07-17,1986-05-06
Q272588,Abdullah Ahmad Badawi,1986-08-11,1987-05-07
Q4072989,Ahmad Rithauddeen Ismail,1987-05-20,1990-10-26
Q57675,Najib Razak,1990-10-27,1995-05-07
Q3176113,Syed Hamid Albar,1995-05-08,1999-12-14
Q57675,Najib Razak,1999-12-15,2008-03-18
Q272588,Abdullah Ahmad Badawi,2008-03-19,2009-04-09
Q4695503,Ahmad Zahid Hamidi,2009-04-10,2013-05-15
Q5772615,Hishammuddin Hussein,2013-05-16,2018-05-09
Q6890904,Mohamad Sabu,2018-05-21,2020-02-24
Q6084858,Ismail Sabri Yaakob,2020-03-10,2021-07-07
Q6084858,Ismail Sabri Yaakob,2021-07-07,2021-08-16
Q5772615,Hishammuddin Hussein,2021-08-30,
